Loading checkpoint models/117M/model.ckpt
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  1.62it/s]
dataset has 61451752 tokens
Training...
[1 | 8.32] loss=2.05 avg=2.05
[2 | 13.20] loss=2.20 avg=2.12
[3 | 18.27] loss=2.10 avg=2.11
[4 | 23.30] loss=1.69 avg=2.01
[5 | 28.64] loss=1.79 avg=1.96
[6 | 33.63] loss=1.71 avg=1.92
[7 | 38.59] loss=2.01 avg=1.93
[8 | 43.56] loss=0.97 avg=1.81
[9 | 48.56] loss=1.22 avg=1.74
[10 | 53.56] loss=1.77 avg=1.74
[11 | 58.74] loss=2.06 avg=1.77
[12 | 63.90] loss=1.33 avg=1.73
[13 | 68.97] loss=2.25 avg=1.78
[14 | 74.09] loss=1.66 avg=1.77
[15 | 79.24] loss=1.76 avg=1.77
[16 | 84.29] loss=1.81 avg=1.77
[17 | 89.36] loss=1.51 avg=1.75
[18 | 94.66] loss=1.63 avg=1.75
[19 | 99.91] loss=1.61 avg=1.74
[20 | 105.17] loss=1.61 avg=1.73
[21 | 110.34] loss=1.69 avg=1.73
[22 | 115.57] loss=1.32 avg=1.71
[23 | 120.79] loss=1.75 avg=1.71
[24 | 126.00] loss=1.47 avg=1.70
[25 | 131.27] loss=1.32 avg=1.68
[26 | 136.50] loss=1.67 avg=1.68
[27 | 141.85] loss=1.51 avg=1.67
[28 | 147.18] loss=1.83 avg=1.68
[29 | 152.42] loss=1.62 avg=1.68
[30 | 157.71] loss=1.31 avg=1.66
[31 | 162.97] loss=1.65 avg=1.66
[32 | 168.22] loss=1.35 avg=1.65
[33 | 173.50] loss=1.43 avg=1.64
[34 | 178.87] loss=1.14 avg=1.63
[35 | 184.25] loss=1.72 avg=1.63
[36 | 189.75] loss=1.39 avg=1.62
[37 | 195.11] loss=1.98 avg=1.63
[38 | 200.48] loss=1.41 avg=1.63
[39 | 205.88] loss=2.81 avg=1.66
[40 | 211.28] loss=1.69 avg=1.66
[41 | 216.57] loss=1.63 avg=1.66
[42 | 221.80] loss=1.51 avg=1.66
[43 | 227.04] loss=1.73 avg=1.66
[44 | 232.31] loss=1.53 avg=1.66
[45 | 237.55] loss=0.93 avg=1.64
[46 | 242.81] loss=1.36 avg=1.63
[47 | 248.08] loss=1.70 avg=1.63
[48 | 253.39] loss=1.80 avg=1.64
[49 | 258.66] loss=1.27 avg=1.63
[50 | 263.95] loss=1.54 avg=1.62
[51 | 269.21] loss=1.28 avg=1.62
[52 | 274.60] loss=1.76 avg=1.62
[53 | 279.79] loss=1.54 avg=1.62
[54 | 284.94] loss=1.22 avg=1.61
[55 | 290.15] loss=1.84 avg=1.61
[56 | 295.47] loss=1.54 avg=1.61
[57 | 300.75] loss=1.23 avg=1.60
[58 | 306.18] loss=1.34 avg=1.60
[59 | 311.34] loss=2.02 avg=1.61
[60 | 316.59] loss=1.73 avg=1.61
[61 | 321.86] loss=1.56 avg=1.61
[62 | 327.07] loss=1.17 avg=1.60
[63 | 332.24] loss=1.44 avg=1.59
[64 | 337.44] loss=1.90 avg=1.60
[65 | 342.51] loss=1.63 avg=1.60
[66 | 347.68] loss=1.79 avg=1.61
[67 | 352.85] loss=1.60 avg=1.61
[68 | 358.05] loss=1.35 avg=1.60
[69 | 363.22] loss=1.64 avg=1.60
[70 | 368.35] loss=1.36 avg=1.60
[71 | 373.46] loss=0.92 avg=1.58
[72 | 378.56] loss=0.89 avg=1.57
[73 | 383.64] loss=1.64 avg=1.57
[74 | 388.76] loss=1.60 avg=1.57
[75 | 393.90] loss=1.30 avg=1.57
[76 | 399.02] loss=1.45 avg=1.56
[77 | 404.09] loss=1.39 avg=1.56
[78 | 409.22] loss=1.68 avg=1.56
[79 | 414.43] loss=1.49 avg=1.56
[80 | 419.62] loss=1.21 avg=1.56
[81 | 424.87] loss=1.72 avg=1.56
[82 | 430.00] loss=1.01 avg=1.55
[83 | 435.19] loss=1.50 avg=1.55
[84 | 440.45] loss=1.38 avg=1.54
[85 | 445.53] loss=1.32 avg=1.54
[86 | 450.78] loss=1.18 avg=1.53
[87 | 455.94] loss=1.15 avg=1.53
[88 | 461.23] loss=1.83 avg=1.53
[89 | 466.40] loss=0.99 avg=1.52
[90 | 471.58] loss=1.72 avg=1.53
[91 | 476.76] loss=1.33 avg=1.52
[92 | 482.01] loss=1.48 avg=1.52
[93 | 487.30] loss=1.59 avg=1.52
[94 | 492.47] loss=1.36 avg=1.52
[95 | 497.73] loss=1.41 avg=1.52
[96 | 502.98] loss=1.62 avg=1.52
[97 | 508.09] loss=1.35 avg=1.52
[98 | 513.19] loss=2.36 avg=1.53
[99 | 518.28] loss=1.42 avg=1.53
Generating samples...
======== SAMPLE 1 ========
                                                                                                                                                                                                                                                                                                                            )     _ _                                                                                                                                                                                                              )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                

[100 | 605.27] loss=1.42 avg=1.53
[101 | 610.41] loss=1.24 avg=1.52
[102 | 615.63] loss=1.17 avg=1.52
[103 | 621.01] loss=1.05 avg=1.51
[104 | 626.17] loss=1.21 avg=1.51
[105 | 631.41] loss=1.46 avg=1.51
[106 | 636.62] loss=1.24 avg=1.50
[107 | 641.80] loss=2.31 avg=1.51
[108 | 646.84] loss=1.40 avg=1.51
[109 | 651.91] loss=1.47 avg=1.51
[110 | 657.15] loss=1.31 avg=1.51
[111 | 662.43] loss=1.46 avg=1.51
[112 | 667.64] loss=1.06 avg=1.50
[113 | 672.79] loss=1.56 avg=1.50
[114 | 677.96] loss=1.28 avg=1.50
[115 | 683.23] loss=1.19 avg=1.49
[116 | 688.53] loss=1.59 avg=1.50
[117 | 693.79] loss=1.90 avg=1.50
[118 | 699.05] loss=1.13 avg=1.50
[119 | 704.29] loss=1.24 avg=1.49
[120 | 709.50] loss=1.37 avg=1.49
[121 | 714.76] loss=1.71 avg=1.49
[122 | 719.90] loss=1.36 avg=1.49
[123 | 725.04] loss=1.18 avg=1.49
[124 | 730.26] loss=1.09 avg=1.48
[125 | 735.43] loss=1.18 avg=1.48
[126 | 740.57] loss=1.43 avg=1.48
[127 | 745.70] loss=1.65 avg=1.48
[128 | 751.00] loss=1.46 avg=1.48
[129 | 756.27] loss=1.11 avg=1.47
[130 | 761.64] loss=1.21 avg=1.47
[131 | 766.88] loss=1.16 avg=1.47
[132 | 772.04] loss=1.67 avg=1.47
[133 | 777.31] loss=1.19 avg=1.47
[134 | 782.60] loss=1.32 avg=1.46
[135 | 787.99] loss=1.19 avg=1.46
[136 | 793.36] loss=1.30 avg=1.46
[137 | 798.53] loss=1.60 avg=1.46
[138 | 803.82] loss=1.65 avg=1.46
[139 | 809.01] loss=1.15 avg=1.46
[140 | 814.21] loss=0.97 avg=1.45
[141 | 819.41] loss=1.06 avg=1.45
[142 | 824.60] loss=1.14 avg=1.44
[143 | 829.87] loss=1.24 avg=1.44
[144 | 835.22] loss=1.35 avg=1.44
[145 | 840.50] loss=1.56 avg=1.44
[146 | 845.77] loss=1.15 avg=1.44
[147 | 850.85] loss=1.22 avg=1.43
[148 | 856.06] loss=1.11 avg=1.43
[149 | 861.08] loss=1.23 avg=1.43
[150 | 866.17] loss=1.35 avg=1.43
[151 | 871.25] loss=1.36 avg=1.43
[152 | 876.47] loss=1.14 avg=1.42
[153 | 881.65] loss=1.10 avg=1.42
[154 | 886.74] loss=1.47 avg=1.42
[155 | 891.88] loss=1.26 avg=1.42
[156 | 896.97] loss=1.50 avg=1.42
[157 | 902.06] loss=1.29 avg=1.42
[158 | 907.14] loss=1.82 avg=1.42
[159 | 912.25] loss=1.28 avg=1.42
[160 | 917.47] loss=1.35 avg=1.42
[161 | 922.78] loss=1.25 avg=1.42
[162 | 928.02] loss=2.18 avg=1.43
[163 | 933.39] loss=1.45 avg=1.43
[164 | 938.66] loss=0.84 avg=1.42
[165 | 943.90] loss=1.19 avg=1.42
[166 | 949.16] loss=1.70 avg=1.42
[167 | 954.43] loss=1.06 avg=1.41
[168 | 959.67] loss=1.25 avg=1.41
[169 | 964.72] loss=1.61 avg=1.42
[170 | 969.84] loss=1.28 avg=1.41
[171 | 974.93] loss=1.57 avg=1.42
[172 | 980.05] loss=1.14 avg=1.41
[173 | 985.18] loss=1.05 avg=1.41
