Test-All MRR (bs=1,000):  0.613
FuncNameTest-All MRR (bs=1,000):  0.563
Validation-All MRR (bs=1,000):  0.633
Test-ruby MRR (bs=1,000):  0.424
FuncNameTest-ruby MRR (bs=1,000):  0.394
Validation-ruby MRR (bs=1,000):  0.474
Test-python MRR (bs=1,000):  0.569
FuncNameTest-python MRR (bs=1,000):  0.468
Validation-python MRR (bs=1,000):  0.542
Test-php MRR (bs=1,000):  0.470
FuncNameTest-php MRR (bs=1,000):  0.570
Validation-php MRR (bs=1,000):  0.481
Test-javascript MRR (bs=1,000):  0.462
FuncNameTest-javascript MRR (bs=1,000):  0.230
Validation-javascript MRR (bs=1,000):  0.453
Test-java MRR (bs=1,000):  0.516
FuncNameTest-java MRR (bs=1,000):  0.610
Validation-java MRR (bs=1,000):  0.498
Test-go MRR (bs=1,000):  0.645
FuncNameTest-go MRR (bs=1,000):  0.311
Validation-go MRR (bs=1,000):  0.781
